diff/H/10_TO_18_fwd_10_TO_18 7406
diff/H/10_TO_18_rev_10_TO_18 7463
diff/H/10_TO_19_fwd_10_TO_19 1075
diff/H/10_TO_19_rev_10_TO_19 1062
diff/H/10_TO_20_fwd_10_TO_20 1103
diff/H/10_TO_20_rev_10_TO_20 1134
diff/H/10_TO_23_fwd_10_TO_23 1098
diff/H/10_TO_23_rev_10_TO_23 1049
diff/H/10_TO_24_fwd_10_TO_24 1131
diff/H/10_TO_24_rev_10_TO_24 1156
diff/H/10_TO_25_fwd_10_TO_25 15
diff/H/10_TO_25_rev_10_TO_25 8
diff/H/10_TO_30_fwd_10_TO_30 686
diff/H/10_TO_30_rev_10_TO_30 667
diff/H/10_TO_31_fwd_10_TO_31 1099
diff/H/10_TO_31_rev_10_TO_31 1124
diff/H/10_TO_33_fwd_10_TO_33 33
diff/H/10_TO_33_rev_10_TO_33 38
diff/H/10_TO_34_fwd_10_TO_34 11
diff/H/10_TO_34_rev_10_TO_34 6
diff/H/10_TO_36_fwd_10_TO_36 37
diff/H/10_TO_36_rev_10_TO_36 30
diff/H/10_TO_39_fwd_10_TO_39 23
diff/H/10_TO_39_rev_10_TO_39 21
diff/H/11_TO_13_fwd_11_TO_13 7492
diff/H/11_TO_13_rev_11_TO_13 7578
diff/H/11_TO_14_fwd_11_TO_14 7451
diff/H/11_TO_14_rev_11_TO_14 7402
diff/H/11_TO_15_fwd_11_TO_15 7403
diff/H/11_TO_15_rev_11_TO_15 7549
diff/H/11_TO_16_fwd_11_TO_16 7441
diff/H/11_TO_16_rev_11_TO_16 7227
diff/H/11_TO_19_fwd_11_TO_19 1092
diff/H/11_TO_19_rev_11_TO_19 1137
diff/H/11_TO_20_fwd_11_TO_20 1084
diff/H/11_TO_20_rev_11_TO_20 1097
diff/H/11_TO_21_fwd_11_TO_21 1133
diff/H/11_TO_21_rev_11_TO_21 1109
diff/H/11_TO_22_fwd_11_TO_22 1145
diff/H/11_TO_22_rev_11_TO_22 1109
diff/H/11_TO_26_fwd_11_TO_26 11
diff/H/11_TO_26_rev_11_TO_26 14
diff/H/11_TO_27_fwd_11_TO_27 13
diff/H/11_TO_27_rev_11_TO_27 15
diff/H/11_TO_31_fwd_11_TO_31 1086
diff/H/11_TO_31_rev_11_TO_31 1107
diff/H/11_TO_32_fwd_11_TO_32 1144
diff/H/11_TO_32_rev_11_TO_32 1058
diff/H/11_TO_34_fwd_11_TO_34 15
diff/H/11_TO_34_rev_11_TO_34 8
